text,label
Será se essa gripe me deixa sair de casa hoje? Será??,4
Arrependida de ter ido a aula,1
Vou fazer de tudo pra não ir pra escola segunda-feira,1
Minha vó ta na UTI e eu nao to sabendo lidar 💔,4
Que gripe,4
"Após assalto, dono de loja decide arrecadar agasalhos para doar em SC: Do local foram roubados apenas dois mo... ",3
Só de pensar que tem mais uma semana de aula e n sei quantas provas p fazer da um desânimo,1
Ciclista que foi baleado após assalto na Paraíba faz apelo por segurança  ,3
"Após assalto, dono de loja decide arrecadar agasalhos para doar em SC ",3
Amanhã praia de Cascais 💨💨,2
"daria tudo pra ter um carro e nao depender de bus, serio",0
Mamãe já começou a falar em me levar pro hospital. Não gostei,4
"7,5 na prova de zoo sem estudar e passando mal do vinho, sou um deus",1
Bom bom é dormir depois de um dia de praia,2
Adivinha quem tem prova amanhã e não estudou nada???,1
Quase sofri um acidente. Tudo legal.,0
Minha mãe quando fica doente ela fica mais chata ainda,4
Meu Deus que transito terrível aqui perto de casa,0
"nunca vi tanto professor com criatividade pra passar trabalho como os meus, misericórdia",1
Amanha tenho q ir pra escola 9:00 :(,1
Tô indo pro hospital 😔,4
Peguei a doença do sono gente,4
hoje fui mal na prova ontem fui mal na prova e isso pq era a que eu precisava de mais ponto e as que eu mais dei meu cu pra estudar,1
"""quando vou sair desse hospital meu deus"" ",4
hoje é dia de arrebentar uma moto num poste,0
"Já odiava física, mas o professor novo me fez odiar ainda mais",1
PUTA QUE PARIU KOGO AMANHA QUE EU VOU PRA PORRA DA PRAIA ,2
To aqui mo hospital ainda💔,4
"Meu professor de filosofia fala tanta merda, mas tanta merda, que eu nem sei mais...",1
tava tudo lindo na viagem de navio mas aquele ditado em magi as coisas só ficam bem por 5 segundos,2
Você ta ind pra escola 6:20 da manhã ai vem um fdp e te assalta,3
Oque tem mais esse horário no onibus é grávida e velho,0
E essa gripe ?,4
3h d viagem,2
to ficando muito desanimada daquela escola já aff,1
Ontem tarde toda na praia com o Miguel e com a Mariana! Bateu mesmo Bue ontem Cascais,2
"melhorei segunda , hj to doente dnv",4
E tem coisa melhor doq gabaritar a última prova 😍,1
A aula de psicologia hj foi muito boa,1
"Acabei d terminar a minha prova d matemática, eu estou na merda.",1
"Meu pai ta me perguntado se eu parei com as bagunça na escola, eu disse q tô calma",1
"PASSAGEM AUMENTOU 30 CENTAVOS, VAI TER OQ WIFI? SHOW DO SAFADAO DENTRO DO ONIBUS???? PIADA!!!!!",0
Amanhã eu vou a praia. Quero nem saber. Or,2
"lamentavel ter que correr pra pegar onibus 

lamentavel",0
odeio hospital da um desanimo na gente.,4
"Saudade de ir na praia, e pegar aquele sol de voltar vermelha pra casa",2
o bero veio comigo ao hospital ver o meu pai,4
Na prova de potuguês fui uma bosta pqp me confudi tdo ...,1
Última prova fechada com chave de ouro,1
"Tô chegando no único hospital que tá funcionando do município, ou seja,amanha eu saio de lá",4
Eu quero muito mudar de escola,1
"hj a aula de mat me deixou bem triste, pude ver que sou menos inteligente do q eu imaginava &lt;/3",1
"Ótimo! Preciso ficar de repouso, só q hj eu não parei quieta e amanhã tenho q estar na escola! 😭😤😤",4
"vo da uma adiantada no conteúdo de estatística, toma uma ducha e me arrumar ki hj eu vo chega na facul + cedo pra estuda pra prova!",1
se eu ficar doida a culpa é da escola,1
contar p vcs que tirei total na prova de Geografia,1
Espero n voltar tão cedo para a escola,1
Eu fiz a prova de francês com tanto sono que nem lembro o que fiz la,1
Esses vão passear lá em São Paulo!😊 sgourmet ,2
"não fiquei doente nenhuma vez esse ano, mas se for contar quantas vezes minha rinite atacou..........",4
Povo da minha sala quase ngm vai na aula,1
Não queria ficar doente 😴😰,4
"1- pior sensação aquela de tá ouvindo uma música boa no ônibus, querer descer com o fone, mas não poder por talvez ser assaltado",3
odeio ficar doente 🙄,4
Ficar resfriado tá virando rotina,4
transito lixo,0
pior prova q eu já fiz em td minha vida,1
"Hoje tem prova de física, Sei porra nenhuma",1
Sobre a prova de matemática: espero que eu tenha me saído bem.,1
Esperar meu pai chegar e ir p hospital,4
"Cara hoje a aula tava sensa, na ed física então kkkk",1
"gente, eu não organizei N A D A pra viagem",2
"Vai rolar de fugir não, to muito doente",4
meu sonho fazer road trip,2
não acredito que to doente vei,4
Fiz nada na escola hj,1
Pelo menos vou voltar de carro,0
vou conhecer uma universidade mano do ceu,1
Amanhã vou ver se a levo à praia,2
Ninguém merece prova pqp,1
"Daqui a pouco vou me mudar p hospital, já q toda semana tô aq... n aguento mais senhor, quando vai acabar!? 💔👎",4
acho que eu to ficando doente,4
Deu ruim q tô cm gripe e tô passando pra todo mundo msm pq ngm merece sofrer sozinho,4
"Juro q essa gripe tá me derrubando, tô malzao aqui no trampo",4
Onibus com carregador &lt;3,0
Odeio estar doente 😷😒,4
Estar doente é horrível.,4
Sexta a noite no hospital UHUL,4
Quero só ver a gente voltando  bebado de carro lá da festa kkkkkkk,0
la vamos nós pegar onibus zz,0
"Saudades verão, saudades praia",2
"Hoje fui à praia, podia ter havido mais pessoas mas até que foi bacano",2
nossa prova tudo ao mesmo tempo eu to me sentindo acabado psicologicamente,1
já só quero é praia e sair e uma vida sem preocupações por uns tempos,2
consegui errar as coisas mais idiotas possíveis na prova de matemática,1
"Mas se eu for dar uma volta uma hora dessas, vou ser roubado/sequestrado",4
"Meu tio desmaiou, teve que ir pro hospital as pressas e agora tá dormindo aqui em casa... Tô preocupada com ele ):",4
Ela vai levar a gente pra passear,2
Deus ajude que ela fique boa logo e não precise ficar muito tempo naquele hospital,4
"Tava na praia com o Marcos, dps fomos na Gilka comer 🍔",2
Um acontecimento lindo chamado visita de egresso na escola sesc de ensino médio,1
"Orem continuamente que isso passe, nao to afim de ir ao hospital :(",4
Estou tão ansiosa com essa viagem,2
"a cada 10 palavras que eu ouço aqui no rj, 23 e meia são ""arrastão"" ""assalto"" ""morreu""",3
Minha mãe quer me levar pro hospital,4
To ficando com gripe já,4
assistindo Mad Max: Estrada da Fúria,2
Amanhã vou pra praia com a isa e a hellen ❤❤,2
Fuuuu não tem mais busao,0
vai rola até rolêzinho de moto,0
Acabei d correr p pegar 9 onibus to mto feliz,0
Tou c vontade de ir amanhã à praia,2
"Não vou agr nem fudendo no hospital, vao me dar injeção e não to afim",4
"gastei 9,90 so de onibus hj e poderia ter gastado apenas 3,30 estaria eu chorando? sim",0
Esse resfriado me pegou de jeito,4
"Só sei de uma coisa, vou dormi a viagem inteira 😊",2
Amanha vou passar o dia todo na praia com a minha familia e dps vamos todos jantar fora,2
Pois bandido de verdade rouba de terno e gravata ...,3
"Preciso ir no hospital, não to bem não 😩🏥",4
Meu filho eu ta doente eu acho😞,4
"Tenho que ir no Vila Velha Hospital amanhã levar minha mãe, a perna dela piorou de novo por causa do atropelamento.",4
amanhã vou pra praia pegar um solzinho. to precisando né☀️,2
"tirando q meu pai foi assaltado duas vezes hj, levaram o step e o gps do carro",3
"odeio ficar doente, fico mais insuportável do que já sou",4
Cara passar o sábado no hospital não é pra ninguém,4
"Sábado que vem, tem trilha com andrezinho",2
"Doente, sábado a noite em casa, que maravilha",4
Pq eu fico doente nas férias?,4
Sonhei com a praia a semana toda ...,2
"Até na praia fui hoje, o dia rendeu.",2
Gripe otima essa pqp,4
íncrivel como só de estar na praia as energias já se renovam,2
Af q gripe chata,4
vim embora de carro,0
Odeio essa de não ter carro e não poder sair de casa a hora que eu quiser,0
"Nossa geral foi roubado hoje. Minha tia foi roubada aqui na rua de casa, essas praga de ladrão tem que morrer 😠😡",3
Quase 30 minutos no ponto e acabei perdendo um ônibus por causa daquele ZIKA ZERO inútil que colocam no letreiro do destino.,0
"A gripe me pegou, ta osso agr pprt 😞",4
Muita dor no corpo tomei um capote de moto hoje sinistro.,4
Que resfriado fdm,4
Ajuda o maluco tá doente,4
"Logo roubaram um carro na minha frente hoje, se louco",3
"Fui assaltado, roubaram meu debut.",3
Porque estou doente mano?,4
Esta viagem a espanha foi tempo perdido fds,2
Fui parar no hospital 😷😷,4
Toda hora Minha bisa ta indo pro Hospital 😭,4
To com dor no peito será que irei ter um infarto,4
Meu pai sofreu um acidente agora a tarde :(..   Só quero que fique tudo bem...,4
"O cara da moto ficou praticamente sem perna, coisa horrível",4
ODEIO ficar doente minha garganta parece pegando fogo,4
Resfriado fdp,4
"Da pra ver na minha cara que não to bem, to com aspecto de doente, to super mal mesmo 🤒🤒",4
Gripe do crlho,4
Assaltaram o carro ao meu irmão 2 noites seguidas,3
Aquele busao escurinho 😍😏,0
Amanhã vou pegar aquela praia,2
"Odeio trânsito, odeio ficar sentada muito tempo no carro 😡",0
Vou ir pro hospital,4
"bom saber que esse povo vai passar o resto da vida com saudades da viagem, igual eu tenho agora 😂😭",2
Venham me ver no hospital amanhã,4
Tanto dia pra ficar doente e fico justamente quando não posso 😞,4
Minha mãe ta indo pro hospital 😰,4
"que vontade de pegar 3,50 e sair por ai em um onibus sem rumo",0
"To sentindo um frio absurdo, acho que to começando a ficar doente",4
será que tem multa por andar com a parte interna do carro parecendo um lixão?,0
Como a pessoa piora de resfriado assim do nada?,4
Passeio ontem foi muito bom,2
eu odeio hospital pelo amor de DEUS,4
Não te aguento mais gripe... saí sua feia.,4
aí n quero ficar doente,4
"ROUBARAM minha moto, me ajudem!
Titan 150 EX Roxa, placa NYE6600. Na Av. Vilarinho agora a tarde.",3
"anda de carro é top e tals, mas vcs já pegaram um onibus lotado em horário de pico????????",0
se tem uma coisa que eu odeio é ficar doente,4
"essa minha gripe, hein",4
Quarta vamos passear,2
Coisa boa vim de moto,0
"Meu pai capotou com o carro no meio da estrada, to preocupadao",0
Fica a semana toda sem carro 😭😭,0
Esse tempo assim só pra deixar a gente doente 😪😥,4
ficar doente em semana de provas é uma merda,4
Essa gripe que não sai de mim,4
Gripe sai de mim 😥,4
Não tô mais com sintoma de gripe mas o nariz tá entupido que raiva,4
esse resfriado que eu to é só na causa,4
"toda vez a mesma história. a polícia mata um moleque negro e já vem vocês acusando de ser bandido, avião, trombadinha...",3
35pila um minichip novo com meu antigo n° chocado com o roubo,3
Tô bem mal da gripe 👎,4
"CARALHO, acabei de ser roubado pela 1ªvez",3
Tô na rodoviária esperando o busao,0
Ir naquele hospital até me arrepia,4
espero que essa viagem seja legal,2
"Resfriado, osso",4
Tava na praia 🍀🍀,2
"Estou com febre e dor no corpo, será que vem uma gripe por aí?!",4
É só eu chegar em casa que esse resfriado desgraçado aparece,4
acabei de vê um assalto to me cagando,3
Caralho to doente dnv😭,4
Tô preocupado c a coroa .. foi no hospital sozinha 😧,4
Acho que estou com febre 😴,4
Essa gripe acabou com o meu diazinho 🙁,4
já ta chato essa história ds assalto,3
"To malzão putz, dor na garganta, resfriado e cia",4
Essa dor no corpo com gostinho de gripe 😔,4
Foi daora a viagem,2
só mais um assalto eu posso pedir música no fantástico,3
O carro quebrou mais uma vez,0
corri dois quarteiroes atras do onibus minha garganta ta mais seca que o deserto scrr,0
Sinto que vou explodir de tanta febre 😭,4
O princípio de febre que estava acabando comigo até o momento que dois comprimidos de Paracetamol desceram pela garganta,4
Ele já cuidou de mim e agora ela ta dodoi e eu n posso cuidar dele 😥😐💔,4
"resfriado é uma bosta, to mt entristecida",4
SEG 20:54H/BA 524 (Canal de Tráfego) Trânsito fluindo tranquilo nos dois sentidos da rodovia.,0
To aqui nesse inferno de upa af,4
Estou com mt febre 😩😷affz,4
teve um assalto aqui na rua praticamente e eu não escutei nada,3
"Nunca fico doente, quando fico já pego 19193819 doenças diferentes 😪🤒😷",4
"Vitor ta com febre alta desde ontem, que dor no coração por não estar com ele 😔",4
Vou ser assaltada. Se levarem o carro de mim eu vou chorar,3
Ódeio hospital :(,4
essa gripe ta foda,4
Gripe chegou pra ficar!,4
Só acho que esse resfriado já pode me abandonar 😪,4
"Pensa numa pessoa que tá morrendo de gripe e alergia,sou eu",4
"q medo vei, meu padrasto tá mt doente dnv :/",4
"Hoje foi o melhor dia de praia, não pelo tempo que tava uma merda, mas sim pela companhia!",2
Quero tanto vir embora do hospital...,4
to com uma gripe tão chata,4
Pra ajudar to  cas gripe,4
que gripe da porra,4
Cheguei agora do hospital.,4
Mais uma noite de pura febre,4
Sonhei coisa ruim com a minha mãe e agora ela chega do serviço falando que ta doente,4
"hmmmm to com febre, nossa, que delicia hein.",4
1:30 de engarrafamento sem sentido na UFAM putaquepariu,0
Tou com muita febre 😢,4
