text,label
"PASSAGEM AUMENTOU 30 CENTAVOS, VAI TER OQ WIFI? SHOW DO SAFADAO DENTRO DO ONIBUS???? PIADA!!!!!",0
só mais um assalto eu posso pedir música no fantástico,2
To com dor no peito será que irei ter um infarto,3
"7,5 na prova de zoo sem estudar e passando mal do vinho, sou um deus",1
"resfriado é uma bosta, to mt entristecida",3
Deu quase quarenta graus de febre,3
"um bicho me picou enquanto eu dormia
espero que eu não pegue nenhuma doença nem nads",3
essa gripe ta me matando,3
"odeio ficar doente, fico mais insuportável do que já sou",3
To no carro indo lá pra Duda agr,0
A aula de psicologia hj foi muito boa,1
"Eu doidão ontem de moto, quase que eu fui parar em baixo do carro, Deus me livre, que reflexo da porra que eu passei !!",0
Estou ardendo em febre,3
Talvez esteja com febre,3
"Bati com o carro, só merdaaaaa",0
Andar de moto deixa meu cabelo todo bagunçado 🙄,0
"CARALHO, acabei de ser roubado pela 1ªvez",2
uma menina da minha escola faleceu essa noite num acidente de carro eu to mal msm sem conhecer ela eu via ela nos corredores todos os dias,0
Caralho q remédio ruim,3
"Nossa geral foi roubado hoje. Minha tia foi roubada aqui na rua de casa, essas praga de ladrão tem que morrer 😠😡",2
Não aguento mais ficar dentro do carro 🆘,0
Cara passar o sábado no hospital não é pra ninguém,3
Esperar meu pai chegar e ir p hospital,3
To com febre de novo 😷😔,3
Caralho to doente dnv😭,3
Que preguiça de ir pra escola,1
"Sai do hospital agr, já quero minha cama 😴😴",3
Tô preocupado c a coroa .. foi no hospital sozinha 😧,3
nossa prova tudo ao mesmo tempo eu to me sentindo acabado psicologicamente,1
Tô bem mal da gripe 👎,3
Não queria ficar doente 😴😰,3
"Odeio trânsito, odeio ficar sentada muito tempo no carro 😡",0
Acho que to até com febre 😒,3
acho que eu to ficando doente,3
"Acabei d terminar a minha prova d matemática, eu estou na merda.",1
Já estava com saudade de pilotar moto. Muito bom! 😆😆,0
Cheguei agora do hospital.,3
Pra ajudar to  cas gripe,3
Ai mano q merda ficar doente,3
vai rola até rolêzinho de moto,0
"Ótimo! Preciso ficar de repouso, só q hj eu não parei quieta e amanhã tenho q estar na escola! 😭😤😤",3
Onibus com carregador &lt;3,0
"Boa noite , tenho q me arrumar pra aula 😓",1
Vou fazer de tudo pra não ir pra escola segunda-feira,1
Fuuuu não tem mais busao,0
"daria tudo pra ter um carro e nao depender de bus, serio",0
Tomei remédio e To no pique dnv mas To c febre e resfriada,3
Só acho que esse resfriado já pode me abandonar 😪,3
"Essas loucuras só acontecem na Unijorge. Assalto, tiroteio, morte, invasão, homem bomba... Vamos benzer essa faculdade viu?",2
Gripe otima essa pqp,3
Pegar estrada é um porre,0
"Me arrependi de ter saído do hospital, to passando Malzão",3
Vou ser assaltada. Se levarem o carro de mim eu vou chorar,2
Porra aqui ná prainha não tem um moto táxi 👊😠😠,0
Tanto dia pra ficar doente e fico justamente quando não posso 😞,3
Acabei d correr p pegar 9 onibus to mto feliz,0
Só pra deixar registrado que eu to de parabéns porque essa semana eu nao cheguei nenhum dia atrasada na escola,1
la vamos nós pegar onibus zz,0
24 de junho de 2016 para sempre marcado como o dia em que quase chorei na sala de aula lendo o final do meu pé de laranja lima,1
"Eu tava sem fb, fui olhar agora e mano todo mundo sendo assaltado, slc 😪",2
Amanha tenho q ir pra escola 9:00 :(,1
Porque estou doente mano?,3
Arrependida de ter ido a aula,1
não acredito que to doente vei,3
resfriado da porra :/,3
Muito ruim ficar doente,3
será que tem multa por andar com a parte interna do carro parecendo um lixão?,0
pensando seriamente em não ir pra aula,1
Professor Wesley foi na escola hoje nos ver ❤️,1
"Nao vou mentir, viver sem medo de morrer na esquina por conta de um assalto é maravilhoso.",2
Acho q to com doença,3
Resfriado fdp,3
"a cada 10 palavras que eu ouço aqui no rj, 23 e meia são ""arrastão"" ""assalto"" ""morreu""",2
Gripe sai de mim 😥,3
amo ficar pensando na vida quando to na estrada,0
"odeio ficar doente  ,  fico dengosa 👎😞",3
Última prova fechada com chave de ouro,1
oi gente eu tava dirigindo e bati o carro no meio fio dsclp,0
gripe ta judiando,3
"vo da uma adiantada no conteúdo de estatística, toma uma ducha e me arrumar ki hj eu vo chega na facul + cedo pra estuda pra prova!",1
Voltei e mano dirigir carro é muito tenso,0
to com uma gripe tão chata,3
Meu pai sofreu um acidente agora a tarde :(..   Só quero que fique tudo bem...,3
E tem coisa melhor doq gabaritar a última prova 😍,1
"Dar uma atualizada na playlist, pq amanhã volta a sofrencia no onibus lotado",0
é tão ruim ficar com febre :-(,3
trist eh ver suas amigas tirando total na prova de física enquanto vc só se fode,1
"Meu professor de filosofia fala tanta merda, mas tanta merda, que eu nem sei mais...",1
Sexta a noite no hospital UHUL,3
Fui parar no hospital 😷😷,3
"Cabeça ta doendo muito, estou com febre ta foda",3
hoje é dia de arrebentar uma moto num poste,0
"To malzão putz, dor na garganta, resfriado e cia",3
"melhorei segunda , hj to doente dnv",3
Ficar resfriado tá virando rotina,3
"Doente, sábado a noite em casa, que maravilha",3
Passar o domingo de cama por causa de uma gripe monstra. Que beleza!,3
odeio ficar doente mano,3
nunca mais eu ando de moto com meu irmão,0
Essa gripe me fodeu legal,3
vou ir na aula hj,1
"Só eu mesmo, to indo fazer prova e esqueço a caneta",1
Acabei de sair da upa,3
Aquele busao escurinho 😍😏,0
Eu fiz a prova de francês com tanto sono que nem lembro o que fiz la,1
Espero n voltar tão cedo para a escola,1
Minha mãe ta indo pro hospital 😰,3
Tô indo pro hospital 😔,3
ficar doente em semana de provas é uma merda,3
"Depois de três dias seguidos de prova, ninguém merece fazer mais uma no sábado",1
pior prova q eu já fiz em td minha vida,1
Povo da minha sala quase ngm vai na aula,1
Coisa boa vim de moto,0
Lucas teve apresentação hj na escola 😍😍😍😍,1
Essa gripe parece que gostou de mim,3
to ficando muito desanimada daquela escola já aff,1
Sinto que vou explodir de tanta febre 😭,3
"Após assalto, dono de loja decide arrecadar agasalhos para doar em SC: Do local foram roubados apenas dois mo... ",2
Ele já cuidou de mim e agora ela ta dodoi e eu n posso cuidar dele 😥😐💔,3
Quero tanto vir embora do hospital...,3
Não te aguento mais gripe... saí sua feia.,3
esse resfriado que eu to é só na causa,3
"nunca vi tanto professor com criatividade pra passar trabalho como os meus, misericórdia",1
vou conhecer uma universidade mano do ceu,1
Febre me pegou de um jeito,3
Gripe do crlho,3
"Tenho que ir no Vila Velha Hospital amanhã levar minha mãe, a perna dela piorou de novo por causa do atropelamento.",3
SEG 20:54H/BA 524 (Canal de Tráfego) Trânsito fluindo tranquilo nos dois sentidos da rodovia.,0
transito lixo,0
Pois bandido de verdade rouba de terno e gravata ...,2
"Meu tio desmaiou, teve que ir pro hospital as pressas e agora tá dormindo aqui em casa... Tô preocupada com ele ):",3
Desconheço uma doença tão cruel como a leucemia,3
Minha mãe quer me levar pro hospital,3
Fiz nada na escola hj,1
Será se essa gripe me deixa sair de casa hoje? Será??,3
que gripe da porra,3
"Nunca fico doente, quando fico já pego 19193819 doenças diferentes 😪🤒😷",3
35pila um minichip novo com meu antigo n° chocado com o roubo,2
"Vitor ta com febre alta desde ontem, que dor no coração por não estar com ele 😔",3
sabe quando tu sente que vai ficar doente??,3
Pelo menos vou voltar de carro,0
Ninguém merece prova pqp,1
Não vejo a hora do doc do meu carro sair,0
Esse resfriado que eu não to entendendo ✖️,3
Essa dor no corpo com gostinho de gripe 😔,3
"Que legal, fiquei doente",3
Quase sofri um acidente. Tudo legal.,0
Aula na sexta-feira é pra quebrar o gaúcho 😰,1
"Hoje tem prova de física, Sei porra nenhuma",1
É só eu chegar em casa que esse resfriado desgraçado aparece,3
Meu Deus que transito terrível aqui perto de casa,0
Bateu num carro parado,0
"Que susto que meu pai me deu!!!!! 
Graças a Deus que aquele hospital atendeu ele rápido.",3
"A noite cai , meu resfriado piora ..",3
Quase 30 minutos no ponto e acabei perdendo um ônibus por causa daquele ZIKA ZERO inútil que colocam no letreiro do destino.,0
Minha gripe pioro,3
"ROUBARAM minha moto, me ajudem!
Titan 150 EX Roxa, placa NYE6600. Na Av. Vilarinho agora a tarde.",2
To aqui mo hospital ainda💔,3
Carro capota em via pública:  via @YouTube,0
"Mas se eu for dar uma volta uma hora dessas, vou ser roubado/sequestrado",3
corri dois quarteiroes atras do onibus minha garganta ta mais seca que o deserto scrr,0
Essa gripe que não me larga 😢 to sem voz ja,3
péssimo dia para não ter um carro,0
Pq eu fico doente nas férias?,3
Estar doente é horrível.,3
ODEIO ficar doente minha garganta parece pegando fogo,3
E essa gripe ?,3
Minha mãe quando fica doente ela fica mais chata ainda,3
"Professor é um tipo de gente muito vingativo, senhor do céu.",1
"Fui na UPA agr, e tomei quatro big injeções.. 😢",3
To ficando com gripe já,3
Esse resfriado me pegou de jeito,3
Tô na rodoviária esperando o busao,0
"Vai rolar de fugir não, to muito doente",3
"Dois morrem após bater moto em ônibus: ​Um acidente entre uma motocicleta e um ônibus na PB-073 , na tarde de... ",0
"toda vez a mesma história. a polícia mata um moleque negro e já vem vocês acusando de ser bandido, avião, trombadinha...",2
Um acontecimento lindo chamado visita de egresso na escola sesc de ensino médio,1
Ficar 1 semana andando em carro manual vai ser mola,0
Só de pensar que tem mais uma semana de aula e n sei quantas provas p fazer da um desânimo,1
"Meu pai fez uma curva tao fechada, que eu tombei no banco do carro",0
Odeio estar doente 😷😒,3
Ir naquele hospital até me arrepia,3
Eu nao ia pra escola mas agr eu vou kkkkk,1
"cheguei na taquara, vim quase caindo da moto",0
Minha irmã quer q eu vá com ela pra São Caetano. Sair de carro com ela é uma aventura. Que Odin me ajude,0
é roubo roubar uma coisa que já foi roubada?,2
meu irmão ta no hospital,3
Esse resfriado tá acabando cmg 😪🤒,3
"Juro q essa gripe tá me derrubando, tô malzao aqui no trampo",3
Que sensação boa que da sair da sala de prova,1
"Daqui a pouco vou me mudar p hospital, já q toda semana tô aq... n aguento mais senhor, quando vai acabar!? 💔👎",3
Sonhei coisa ruim com a minha mãe e agora ela chega do serviço falando que ta doente,3
Deus ajude que ela fique boa logo e não precise ficar muito tempo naquele hospital,3
"Cheguei do hospital faz um tempinho, morta com dor de cabeça",3
se tem uma coisa que eu odeio é ficar doente,3
"Estou com febre e dor no corpo, será que vem uma gripe por aí?!",3
Minha vó ta na UTI e eu nao to sabendo lidar 💔,3
"hmmmm to com febre, nossa, que delicia hein.",3
odeio ficar doente 🙄,3
eu to ficando muito doente,3
Venham me ver no hospital amanhã,3
Mais uma noite de pura febre,3
Eu quero muito mudar de escola,1
"Caralho, bati com o carro. :(",0
Nunca ri TANTO na aula de história,1
To aqui nesse inferno de upa af,3
Dormir no carro agora até chega la,0
